Place Name,Category,Latitude,Longitude,Description,Image URL,Link to Page,Directions Link
Korlai,Fort,18.535833,72.908056,"Korlai Fort is a colonial fort in the Raigad district of Maharashtra, India.[2] Formerly a part of Chaul in Portuguese India,[3] the structure is a specimen of Portuguese colonial architecture.[2] It was built as a companion to the fort at Chaul, at this strategic position the Portuguese could use it to defend their province which stretched from Korlai to the Fort Bassein.[4] Vestiges of the Portuguese occupation are manifested in the distinct dialect of the Korlai villages inhabitants which is a Luso-Indian creole called Korlai Portuguese Creole.",https://upload.wikimedia.org/wikipedia/commons/b/bd/Portuguese_church_of_Korlai_fort.jpg,https://en.wikipedia.org/wiki/Korlai_Fort,https://maps.app.goo.gl/2xBmYKxKE2M6uEyT6
Kothaligad,Fort,18.992306,73.512667,"Kothaligad (also called Kotligad/ Kothligad/Peth) is a small fort (3100 ft) situated to the east of Karjat near Karjat-Murbad Road in the Indian state of Maharashtra. It is a famous trek in the Karjat area, because of its small height and easy climbing. It is also known as the Fort of Peth because of its vicinity to Peth village at its base.",https://upload.wikimedia.org/wikipedia/commons/0/02/Kothaligad_Fort1.jpg,https://en.wikipedia.org/wiki/Kothaligad,https://maps.app.goo.gl/8mJnxWyfySgwwSrX7
Kulaba Fort,Fort,18.6344,72.8642,"Kolaba Fort located at Alibag beach is an old fortified maritime base in Alibag, Konkan, India. It is situated in the sea at a distance of 1–2 km from the shores of Alibag, 35 km south of Mumbai, in the Konkan region of Maharashtra, India. It is a popular tourist destination and a protected monument.",https://upload.wikimedia.org/wikipedia/commons/e/e6/Kolaba_Fort_-_Alibag.JPG,https://en.wikipedia.org/wiki/Kolaba_Fort,https://maps.app.goo.gl/DsRt2dJvGwGnEBSp9
Kurdugad,Fort,18.365222,73.405917,"Kurdugad Fort ( कुर्डूगड किल्ला ) is a fort located 143 km (89 mi) from Mumbai and 113km from Pune in Raigad district, of Maharashtra. This fort was an important fort in Raigad district as a watch over for the trade route from Pune to coastal ports. The fort is surrounded by thick forest and hill slopes.",https://www.mtdc.co.in/wp-content/uploads/2013/10/kurdugad3.jpg,https://en.wikipedia.org/wiki/Kurdugad,https://maps.app.goo.gl/7hdYzF5sYukc4njj6
Lingana,Fort,18.2536581,73.5022742,"Lingana is a 2969 feet high pinnacle on the mainline of the Sahyadris between Raigad and Torna. It is in the Mahad Taluka of Raigad district and is 35 km from Mahad town. It takes its name from its shape which is like a linga. The massive pinnacle has an ascent of four miles, the first half is easy to climb while the second is difficult. Its rock cut steps have been destroyed and the fort is almost completely inaccessible. The top of the fortified rock is 2500 feet square. No fortifications or buildings remain but there are traces of a grain store and some cisterns.",https://upload.wikimedia.org/wikipedia/commons/2/2e/Lingana_pinnacle.jpg,https://en.wikipedia.org/wiki/Lingana,https://maps.app.goo.gl/DRYyRLrEJVoNZBdM8
Malanggad,Fort,19.110056,73.178194,"Malang gad is a hill fort located in the Matheran Hill Range, Thane District, Maharashtra, India. Malanggad was built by the King Naladev of the Maurya Dynasty in the seventh century. The fort was initially captured by the Marathas in the 17th century and was later conquered over by the British. Nearby Kalyan East 15 km, the reinforcements arrived in early October as Colonel Hartley and Captain Jameson and their troops advanced on Malanggad and finally defeated the Marathas.",https://upload.wikimedia.org/wikipedia/commons/b/bc/Malang_Fort1.jpg,https://en.wikipedia.org/wiki/Malanggad,https://maps.app.goo.gl/9HTFKyzvVpLU51W6A
Mangad Fort,Fort,18.312028,73.351111,"Mangad Fort is a survey fort which is situated in Borwadi, an area near Mashidwadi in Mangaon, a taluka in Raigad district in the Indian state of Maharashtra. The fort is made sacred by the footsteps of the founder of Hindavi Swaraj, the famous Maratha king Chhatrapati Shivaji Maharaja. Mangaon is situated about 150 km from Mumbai.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Enterance_of_Fort.jpg/1600px-Enterance_of_Fort.jpg,https://en.wikipedia.org/wiki/Mangad_Fort,https://maps.app.goo.gl/gsLrpv14ffgmEwxo6
Manikgad,Fort,18.825917,73.193028,"Manikgad is a mountain fortress and temple in Gherakilla Manikgad, India. Located among rolling hills, the temple is a popular hiking spot. Manikgad was built to oversee the trade route from Maval (Pune) to coastal ports. The fort is situated near Vashivali (Rasayani MIDC), which is 27 km from Panvel. The fort was built by Sarkhel Kanhoji Angre, to whom it was ceded in 1718 by Peshavas.",https://upload.wikimedia.org/wikipedia/commons/6/65/Manikgad%28Raigad%29.jpg,https://en.wikipedia.org/wiki/Manikgad_(Raigad),https://maps.app.goo.gl/BgJAfnUuHq2vJ8mn9
Mrugagad,Fort,18.688833,73.364361,"Mrugagad fort is a hill fort in Sudhagad taluka of Raigad district, Maharashtra, India. At a height of 1750 ft, the fort lies near Bheliv village, and is made of stone. The fort is very small in size and is in a form of spur radiating from the Western ghats. The fort is very close to the Lonavala, Khandala and Khopoli.",https://upload.wikimedia.org/wikipedia/commons/7/70/Mrugagad.jpg,https://en.wikipedia.org/wiki/Mrugagad,https://maps.app.goo.gl/kKqfuzHT7YJ6tewZ7
Murud-Janjira,Fort,18.299589,72.964425,"Murud Janjira is the local name of a famous fort and tourist spot situated on an island just off the coastal town of Murud, in the Raigad district of Maharashtra, India. Malik Ambar is credited with the construction of the Janjira Fort in the Murud Area of present-day Maharashtra India. After its construction in 1567 AD, the fort was key to the Sidis withstanding various invasion attempts by the Marathas, Mughals, and Portuguese to capture Janjira.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Fort_Janjira_Unconquered.JPG/1920px-Fort_Janjira_Unconquered.JPG,https://en.wikipedia.org/wiki/Murud-Janjira,https://maps.app.goo.gl/2wh46EUPAjSricWv9
Padmadurg Fort,Fort,18.322135,72.932755,"Padmadurg, also known as Kasa fort, is one of five historical sea forts built by Chhatrapati Shivaji Maharaj and located in Raigad District Maharashtra, India. It was built by the Shivaji Maharaj to keep an eye on the bigger one I.e Janjira fort as it was attempted many times by the Portuguese, Marathas and other invaders Janjira which was controlled by the Siddis.",https://upload.wikimedia.org/wikipedia/commons/4/41/Surrounded_by.jpg,https://en.wikipedia.org/wiki/Padmadurg,https://maps.app.goo.gl/jCmVnUhkZeG3nJG29
Prabalgad,Fort,18.971193,73.225293,"Prabalgad (also known as Muranjan, Pradhangad or Prabalmachi) is a fort located between Matheran and Panvel and comes under the Raigad District in the state of Maharashtra, India. The Prabalgad Fort stands at an elevation of 2,300 feet (700 m) in the Western Ghats. The fort was previously known as Muranjan until it was taken over and renamed by the Maratha forces under Chatrapati Shivaji Maharaj's rule. Its sister fort is Irshalgad. Right next to Prabalgad, to its north, lies the steep Kalavantin pinnacle.",https://upload.wikimedia.org/wikipedia/commons/c/cd/Prabal_machi.jpg,https://en.wikipedia.org/wiki/Prabalgad,https://maps.app.goo.gl/2vJNBRQRTUusTKNL8
Raigad Fort,Fort,18.2335,73.4406,"Raigad, seen in the Raigad district of Maharashtra, India, is a hill fort located in the city of Mahad. It is one of the strongest fortress on the Deccan Plateau and was historically referred to as Rairee or Rairy fort. Chhatrapati Shivaji Maharaj, the Maratha ruler, along with his chief engineer Hiroji Indulkar, did the construction and development of various buildings and structures, including Raigad. In 1674, after being crowned the king of the Maratha Kingdom of the Konkan, Shivaji Maharaj chose Raigad as the capital of his Hindavi Swaraj. Located at an elevation of 820 metres (2,700 ft) above its base and 1,356 m (4,449 ft) above sea level within the Sahyadri mountain range, the fort offers views of the surrounding area. Accessing the fort requires ascending approximately 1,737 steps. Alternatively, visitors can opt for the Raigad Ropeway, an aerial tramway spanning 750 m (2,460 ft) in length and reaching a height of 400 m (1,300 ft), which conveniently transports them from the ground to the fort in just four minutes.",https://upload.wikimedia.org/wikipedia/commons/d/de/Nagarkhana%2C_Raigad_Fort%2C_India.jpg,https://en.wikipedia.org/wiki/Raigad_Fort,https://maps.app.goo.gl/UkEUSPfRUNuFyLeXA
Revdanda Fort,Fort,18.547167,72.927694,"Revdanda Fort (in Portuguese ""Fortaleza de Chaul"") is located in Revdanda, Maharashtra, India. The fort is located at the mouth of the Kundalika River. It is easily accessible by road. The Alibag-Murud road passes through the fort. Earlier the fort was guarded on three sides by creek water. The main entrance is from the southern side. This fort was built by Portuguese Capt. Soj, and completed in 1524. It was in the control of Portuguese till 1806 when it was captured by Marathas. Finally it was captured by British in 1818.",https://en.m.wikipedia.org/wiki/Revdanda_Fort#/media/File:Revdanda_Fort_outer_walls_01.JPG,https://en.wikipedia.org/wiki/Revdanda_Fort,https://maps.app.goo.gl/9uSq6vg63DJWtbkx8
Sagargad,Fort,18.656083,72.958917,"Sagargad Fort सागरगड is located in Alibag taluka of Raigad District. The path to the fort starts from Khandale village on Alibag-Pen Road. This fort can be visited all round the year. A gentle walk of 2 hours from the village Khandale can reach us up to the fort. There is a small temple of Mahishasurmardini and a water tank on the way. Also, there is ""Dodhane"" waterfall on the way. The beauty of the waterfall can be seen in Monsoon. There is a Siddheshwar monastery on the Sagargad machi. The pedestrians can make a night halt in the monastery.",https://www.mtdc.co.in/wp-content/uploads/2013/08/1467094966_9509845187_fb3f7a4044_k.jpg,https://en.wikipedia.org/wiki/Sagargad,https://maps.app.goo.gl/USdGAsPPhTUDZzyQ6
Sankshi fort,Fort,18.787222,73.131028,"Sankshi Fort सांक्शी किल्ला This fort is located in Pen Taluka of Raigad district of Maharashtra. It is 9 kilometres (5.6 mi) from Pen. A Sank king built the fort. He had a daughter named Jagamata. The king was killed in battle, his daughter committed suicide by jumping from the fort; this is the popular myth. In 1540 Nizamshah of Ahmednagar captured this fort from Gujarath's sultan. The Sultan of Gujarat captured it back with the help of Portuguese. Later he assumed the Nizam were counter-attacking the fort, so he handed over the fort to the Portuguese and ran away to Gujarat. Due to frequent attacks on the army by the Nizam, the Portuguese purchased the fort along with Karnala fort from Nizam.",https://www.nomadtrekkers.in/images/sankshi/3.jpg,https://en.wikipedia.org/wiki/Sankshi_fort,https://maps.app.goo.gl/SvW84N9qFzj4FG7g7
Sarasgad,Fort,18.542768,73.227739,"Sarasgad fort is situated near village Pali in the Raigad district of Maharashtra. Pali lies about 10 kilometres East of Nagothane along the Nagothane-Khopoli road. This fort height from sea level is 490 meters. Sarasgad Fort is the twin of Sudhagad Fort. It can be identified by its four pinnacles and thus was mainly used as a watch place to check the surrounding region. The construction of the fort is now not in a good condition but the huge rock steps are something to be seen. On the way from the south, there are 111 steps carved in stone. The door from this side is known as 'Dindi darvaja'. There are two routes that lead to the top of this fort from Pali.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/5b/d2/08/sarasgad.jpg?w=2000&h=-1&s=1,https://en.wikipedia.org/wiki/Sarasgad,https://maps.app.goo.gl/aNGUnBjjU4Pshi6x5
Sarjekot fort,Fort,18.6344,72.8642,Sarjekot Fort (सर्जेकोट)is an old military fortification in India. it is situated very close to the Malvan. It is located in the Arabian Sea close to the Malvan town in Sindhudurg District of Maharashtra state. The history is similar to the Kolaba fort. This fort was built on the rocks to secure the strategic position. This fort is 26mtX27mt in dimension. There are five bastions and stone wall encircling the fort.. the entrance is facing the Kolaba fort. There is a well inside the fort.,https://www.mtdc.co.in/wp-content/uploads/2013/09/Sarjekot-Fort2.jpg,https://en.wikipedia.org/wiki/Sarjekot_fort,https://maps.app.goo.gl/NtmrbzyvEqaKDYdn6
Sudhagad,Fort,18.538833,73.320361,"Sudhagad / Bhorapgad is a hill fort situated in Maharashtra, India. It lies about 53 kilometres (33 mi) west of Pune, 26 kilometres (16 mi) south of Lonavla and 11 kilometres (6.8 mi) east of Pali in Raigad District. The summit is 620 metres (2,030 ft) above sea level. The entire area around the fort is declared a Sudhagad wildlife sanctuary.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Sudhagad_Fort.jpg/1280px-Sudhagad_Fort.jpg,https://en.wikipedia.org/wiki/Sudhagad,https://maps.app.goo.gl/Jg3UEusAbetA1Cpi8
Surgad,Fort,18.453389,73.226167,"Surgad ( सुरगड क़िल्ला, .lit “Gods Fort”), is a hill fort located in a spur, fragmented from the Sahyadri ranges of Maharashtra. The fort is situated near Roha, next to the village of Vaijanath in the Raigad district. This fort was an observation fort, which guarded the trade route along the Kundalika river from Sudhagad to Revdanda fort. This fort is believed to be built by Shilahar kings and subsequently used by the Nizam of Ahmednagar. The great Maratha king Chhatrapati Shivaji is also believed to have reconstructed this fort.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Surgad.jpg/1280px-Surgad.jpg,https://en.wikipedia.org/wiki/Surgad,https://maps.app.goo.gl/8Atv1YUefFDgcqi78
Talagad,Fort,18.292389,73.135917,Talgad ( तळगड) fort is located 18 km south of the Roha town on Roha-Tala-Indapur road. This fort is at an altitude of 1000 feet. This fort is in form of a narrow strip 20 meters in width. This fort is situated on a narrow spur guarded by fortification. This fort served to keep watch on the enemy and the trade route from Maval to the sea ports around. Also this fort was used to keep check on the activity of Sidhhis of Janjira. Ghosalgad fort is also visible from this fort.,https://nobleforts.wordpress.com/wp-content/uploads/2023/02/talagad-fort.jpeg?w=862,https://en.wikipedia.org/wiki/Talagad,https://maps.app.goo.gl/4RULwKai8G6iqoqR7
Underi (also called Jaidurg),Fort,18.705531,72.841281,"Underi (also called Jaidurg) is a fortified island near the mouth of Mumbai harbour south of Prong's Lighthouse. It is a companion fort to Khanderi and currently lies in Raigad district, Maharashtra. These islands of Khanderi and Underi served as one of the landmarks for ships entering Mumbai harbour.  Underi is smaller than Khanderi. The fortification was built by Kahim of the Siddis in 1680 CE.",https://www.mtdc.co.in/wp-content/uploads/2020/01/Khanderi-Underi-FortMaharashtra-13.jpg,https://en.wikipedia.org/wiki/Underi,https://maps.app.goo.gl/MVVTpVAMN5CELVZW6
Vikatgadd(peb),Fort,19.028694,73.279056,"Vikatgad / Peb Fort is a fort located 19 km (12 mi) from Karjat, in Raigad district, of Maharashtra. This fort is in continuation with the Malang gad, Tauli Hill and Chanderi fort of the Matheran Hill Range. Vikatgad is a favourite destination for one-day trekkers. The trek path to Vikatgad is along deep ravines and cliffs. Its closeness to Matheran and Neral attracts many trekkers on weekends. The forest department and local villagers are doing plantation and some restoration works on the fort. The altitude of Vikatgad, also known as Peb fort is 640 meters (2100 Feet) above sea level.",https://cvsqtgaxsa.cloudimg.io/https://images.prismic.io/indiahike/9596d2f7-a668-4014-bb93-a14a1899b075_Peb+Fort+-+Dhaval+-+September+-+Indiahikes+-+Contribution++%283%29+copy.jpg?&q=50&org_if_sml=1,https://en.wikipedia.org/wiki/Vikatgad,https://maps.app.goo.gl/HhqsS1ArkWmDaTk48
